"","Form.ID","Billing.Year","Num.Units","Address","Dwelling.Type","Condo.Complex.Name"
"353","4780","2011",24,"1001 N BLOUNT ST","Apartment Bldg",NA
"354","4939","2011",6,"120 COX AVE","Apartment Bldg",NA
"355","9595","2011",200,"4249 AVENT FERRY RD","Apartment Bldg",NA
"356","5032","2011",184,"214 LOFT LN","Apartment Bldg",NA
"357","5029","2011",120,"3041 LAKE WOODARD  DR","Apartment Bldg",NA
"358","5215","2011",147,"804 W MORGAN ST","Apartment Bldg",NA
"359","5260","2011",63,"20 MAYO ST","Apartment Bldg",NA
"360","5613","2011",34,"2401 FALL  LN","Apartment Bldg",NA
"361","5625","2011",36,"5521 DIXON DR","Apartment Bldg",NA
"362","5634","2011",33,"2830 KIDD RD","Apartment Bldg",NA
"363","5641","2011",48,"6501 ANDRON DR","Apartment Bldg",NA
"364","5648","2011",48,"4000 ST. JAMES CHURCH ROAD RD","Apartment Bldg",NA
"365","5653","2011",45,"4321 GRANDIFLORA LANE LN","Apartment Bldg",NA
"366","5891","2011",246,"2400 GARDEN HILL DR","Apartment Bldg",NA
"367","5942","2011",28,"1402 STOVALL DR","Apartment Bldg",NA
"368","5974","2011",150,"3900 MARCOM ST","Apartment Bldg",NA
"369","5975","2011",12,"1407 GORMAN ST","Apartment Bldg",NA
"370","5981","2011",10,"1510 CREST RD","Apartment Bldg",NA
"371","5981","2011",8,"717 CHAPPELL DR","Apartment Bldg",NA
"372","5981","2011",6,"1501 GORMAN ST","Apartment Bldg",NA
"373","5981","2011",5,"1505 GORMAN ST","Apartment Bldg",NA
"374","5981","2011",6,"4036 GREENLEAF ST","Apartment Bldg",NA
"375","5767","2011",11,"113 S WILMINGTON ST","Apartment Bldg",NA
"376","6175","2011",26,"109 FARRIS CT","Apartment Bldg",NA
"377","6214","2011",276,"1933 NORTH HILLS DR","Apartment Bldg",NA
"378","6298","2011",324,"14114 CHRISWICK HOUSE LN","Apartment Bldg",NA
"379","3898","2011",4,"518 OAKWOOD AVE","Apartment Bldg",NA
